App Version,Crit 00 00 00 00.00 00 00 Non Crit 00 00.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build Hash,80FA0637D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build Number ,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parametric Version,Crit 99 99 00 00.99 00 00 Non Crit 00 00.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI Bootloader Version ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC Bootloader Version ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,.SS,UI_MachineStateEnter,UI_MachineStateExit,UI_CycleSelection,UnitSerialNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,F039,F03A,F03B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
02/15/2023,15:55:12:.674,.674,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:12:.705,.705,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:12:.807,.807,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:12:.903,.903,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:13:.018,.018,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:13:.103,.103,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:13:.206,.206,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:13:.305,.305,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:13:.413,.413,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:13:.524,.524,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:13:.611,.611,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:13:.711,.711,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:13:.811,.811,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:13:.907,.907,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:14:.010,.010,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:14:.133,.133,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:14:.209,.209,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:14:.310,.310,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:14:.406,.406,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:14:.540,.540,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:14:.621,.621,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:14:.710,.710,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:14:.817,.817,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:14:.912,.912,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:15:.021,.021,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:15:.116,.116,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:15:.212,.212,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:15:.328,.328,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:15:.409,.409,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:15:.532,.532,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:15:.619,.619,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:15:.729,.729,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:15:.810,.810,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:15:.910,.910,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
02/15/2023,15:55:16:.020,.020,02,01,04,0000000000000000000000000000000000000000000000000000000000000000
